Integrand,consine,consine,consine,C1 function,C1 function,C1 function,normal dist,normal dist,normal dist
Method,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3
1,0,0,0,0,0,0,0,0,0
2,54,54,Inf,0,0,0,2.250177562,4.838636304,7.589899784
4,0,0,#NAME?,0,0,0,2.038703082,4.100796399,6.108809274
8,Inf,-0.584962501,0,0,0,-1,2.009174055,4.024470126,6.030407444
16,#NAME?,0.263034406,2,0,0,1,2.002263901,4.006058213,6.007646593
32,-0.584962501,-0.485426827,-2.459431619,0,0,-1.169925001,2.000564156,4.00151076,6.001277595
64,-0.736965594,-0.478047297,-0.710493383,0,0,0.847996907,2.000140926,4.000377404,6.014950341
128,-1.169925001,-0.1740294,1.08246216,0,0,0.621488377,2.000035224,4.000094098,2.321928095
256,1.099535674,2.552541023,-0.584962501,0,0,0.176877762,2.000008806,3.999948963,-0.736965594
512,1.144389909,-1.772589504,-0.551576332,0,0,-0.257797757,2.000002202,4.000612566,1.321928095
