Method,consine,consine,consine,C1 function,C1 function,C1 function,normal dist,normal dist,normal dist
Integrand,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3,Trapezoidal,Simpson,Gauss3
1,-2.048609342,0.699893896,-0.037921562,0.2205,0.077,0.097221425,1.210235341,1.801662874,1.769928185
2,0.012768087,-0.104234359,-0.09845883,0.112875,0.111125,0.11025,1.65380599,1.769931508,1.768878603
4,-0.074983747,-0.098637939,-0.098364245,0.1115625,0.1106875,0.11025,1.740900128,1.768935885,1.768874212
8,-0.092724391,-0.098379286,-0.09836318,0.11090625,0.11046875,0.110310784,1.761926946,1.768877939,1.768874146
16,-0.096965562,-0.098364157,-0.098363165,0.110578125,0.110359375,0.110340387,1.767140191,1.768874381,1.768874145
32,-0.098014508,-0.098363226,-0.098363164,0.110414063,0.110330536,0.110333408,1.768440833,1.76887416,1.768874145
64,-0.098276047,-0.098363168,-0.098363164,0.110351418,0.110333206,0.110333283,1.768765828,1.768874146,1.768874145
128,-0.098341388,-0.098363165,-0.098363164,0.110337759,0.110333336,0.110333333,1.768847066,1.768874145,1.768874145
256,-0.09835772,-0.098363164,-0.098363164,0.110334442,0.110333335,0.110333333,1.768867375,1.768874145,1.768874145
512,-0.098361803,-0.098363164,-0.098363164,0.110333612,0.110333334,0.110333333,1.768872453,1.768874145,1.768874145
